invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-23144300001,2019-11-11,2512,Hy-Vee Wine and Spirits / Iowa City,1720 Waterfront Dr,Iowa City,52240,POINT (-91.53046300000001 41.642764),52,JOHNSON,1041200.0,Flavored Gin,110.0,3 BADGE CORPORATION,932650,SOOH Uncle Vals Botanical Gin,6,750,19.25,28.88,18,519.84,13.5,3.56
INV-23265700087,2019-11-16,2560,Hy-Vee Food Store / Marion,3600 Business Hwy 151 East,Marion,52302,,57,LINN,1081100.0,Coffee Liqueurs,65.0,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.39,12.59,6,75.54,6.0,1.58
INV-09606200094,2018-01-04,5102,Wilkie Liquors,724 1st  St  SE,Mount Vernon,52314.0,POINT (-91.410401 41.918328),57,LINN,1091200.0,Neutral Grain Spirits,384,PIEDMONT DISTILLERS INC,76032,Midnight Moon Original,6,750,11.5,17.25,18,310.5,13.5,3.57
S13120500129,2013-07-02,2619,Hy-Vee Wine and Spirits / WDM,1725  74TH ST,WEST DES MOINES,50266,POINT (-93.808855 41.598515),77,Polk,1701100.0,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,43306,Captain Morgan Signature Series Limited Edition,12,750,10.0,15.0,36,540.0,27.0,7.13
S31771200021,2016-04-13,4062,H and A Mini Mart Corp,145 UNIVERSITY AVE,DES MOINES,50314,POINT (-93.61947 41.600419),77,Polk,1051140.0,PEACH BRANDIES,115,"Constellation Wine Company, Inc.",56193,Paul Masson Peach Grande Amber Brandy,24,200,1.96,2.94,24,70.56,4.8,1.27
S31843300054,2016-04-19,4167,"Iowa Street Market, Inc.",1256 IOWA ST,DUBUQUE,52001,POINT (-90.668138 42.504959),31,Dubuque,1081700.0,DISTILLED SPIRITS SPECIALTY,55,Sazerac North America,76227,Montezuma Blue,12,1000,4.66,6.99,120,838.8,120.0,31.7
INV-42739200025,2021-12-09,3494,Sam's Club 6514 / Waterloo,210 East Tower Park Dr,Waterloo,50702.0,POINT (-92.352359 42.456358),7,BLACK HAWK,1081500,Triple Sec,421,SAZERAC COMPANY  INC,86390,Montezuma Triple Sec,12,1000,2.13,3.2,48,153.6,48.0,12.68
S25421500065,2015-05-04,2487,Anamosa Family Foods,402 EAST MAIN,ANAMOSA,52205,POINT (-91.281344 42.108275),53,Jones,1081030.0,COFFEE LIQUEURS,370,Pernod Ricard USA/Austin Nichols,67527,Kahlua Coffee Liqueur,12,1000,15.24,22.86,4,91.44,4.0,1.06
S15977100057,2013-11-26,2550,Hy-Vee Food Store / Osceola,510 WEST MCLANE,OSCEOLA,50213,POINT (-93.77321 41.030569),20,Clarke,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82849,Dekuyper Peachtree Schnapps Pet,6,1750,11.54,17.31,3,51.93,5.25,1.39
INV-23701300035,2019-12-05,4757,EZ Mart / Bondurant,1111 SE Lincoln St,Bondurant,50035.0,POINT (-93.457069 41.692534),77,POLK,1081100.0,Coffee Liqueurs,65,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.39,12.59,2,25.18,2.0,0.52
